model,tag,accuracy,precision,recall,f1,auc
VGG13 (from scratch),vgg13_paper,0.650 ± 0.055,0.603 ± 0.051,0.957 ± 0.035,0.738 ± 0.026,0.648 ± 0.055
ResNet50 (ImageNet),resnet50_probe,0.844 ± 0.043,0.851 ± 0.060,0.846 ± 0.055,0.847 ± 0.042,0.912 ± 0.035
DINOv2 (SSL),dinov2_probe,0.833 ± 0.057,0.828 ± 0.063,0.854 ± 0.066,0.839 ± 0.055,0.921 ± 0.027
CLIP (VL probe),clip_probe,0.840 ± 0.047,0.835 ± 0.017,0.853 ± 0.100,0.841 ± 0.059,0.892 ± 0.022
Ensemble (proposed),ensemble_resnet50+dinov2+clip,0.863 ± 0.039,0.854 ± 0.040,0.883 ± 0.060,0.867 ± 0.039,0.933 ± 0.015
CLIP (zero-shot),clip_zeroshot_simple,0.502,0.506,0.985,0.668,0.647
